file	num_segments	duration_seconds	num_words
SJ213.1.mpg	8	31	112
R1032.1.mpg	31	172	497
SJ73.1.mpg	88	480	1276
SJ196.1.mpg	70	274	909
SJ119.1.mpg	31	125	343
R1033.1.mpg	63	321	987
SJ51B.1.mpg	32	123	320
SJ51A.1.mpg	83	378	844
SJ63.1.mpg	73	436	1200
R1205.1.mpg	119	303	1030
SJ35.1.mpg	134	448	1202
SJ216.1.mpg	83	485	1302
SJ-ISAM.1.mpg	183	896	2347
SJ218.1.mpg	16	48	186
SJ111.1.mpg	5	27	75
SJA9B.1.mpg	13	94	291
SJ3.1.mpg	20	79	264
SJ36.1.mpg	165	908	2398
SJA67.1.mpg	110	509	1498
SJ100.1.mpg	87	503	1190
SJ188.1.mpg	92	249	694
SJ70.1.mpg	39	160	477
SJ146.1.mpg	109	503	1330
SJ30.1.mpg	5	23	60
SJ173B.1.mpg	66	322	760
SJ173C.1.mpg	63	361	933
SJ143.1.mpg	48	178	591
SJ173A.1.mpg	108	641	1601
Nuet19C.1.mpg	86	349	1130
Nuet36A.1.mpg	104	381	1290
Nuet35A.1.mpg	140	493	1722
Nuet24A.1.mpg	118	396	1469
Nuet33A.1.mpg	80	294	1057
Nuet39A.1.mpg	87	298	1082
Nuet30A.1.mpg	81	301	1060
Nuet22B.1.mpg	6	33	114
Nuet42A.1.mpg	94	386	1348
Nuet19H.1.mpg	86	302	1060
Nuet25C.1.mpg	8	27	85
Nuet48A.1.mpg	121	432	1370
Nuet18A.1.mpg	133	492	1676
Nuet19F.1.mpg	126	388	1285
Nuet45A.1.mpg	91	337	1186
Nuet25A.1.mpg	82	313	1055
Nuet46A.1.mpg	91	346	1324
Nuet20A.1.mpg	89	308	1070
Nuet44C.1.mpg	1	0	1
Nuet48C.1.mpg	43	153	425
Nuet19G.1.mpg	93	370	1126
Nuet26A.1.mpg	84	387	1201
Nuet27A.1.mpg	124	381	1373
Nuet31A.1.mpg	76	301	1008
Nuet23A.1.mpg	71	352	1121
Nuet43A.1.mpg	90	403	1212
Nuet16A.1.mpg	94	296	1074
Nuet21.1.mpg	35	127	428
Nuet19J.1.mpg	88	310	1055
Nuet14.1.mpg	113	362	1321
Nuet19D.1.mpg	70	236	812
Nuet19I.1.mpg	114	330	1274
Nuet15C.1.mpg	3	21	80
Nuet19B.1.mpg	77	242	816
Nuet27B.1.mpg	5	25	79
Nuet19A.1.mpg	112	312	1041
Nuet34A.1.mpg	105	355	1127
Nuet47A.1.mpg	78	273	937
Nuet29A.1.mpg	116	413	1361
Nuet22A.1.mpg	63	241	884
Nuet41B.1.mpg	36	179	544
Nuet17A.1.mpg	72	321	1118
Nuet38A.1.mpg	102	383	1305
Nuet15B.1.mpg	38	144	534
Nuet32A.1.mpg	84	314	1119
Nuet15A.1.mpg	94	379	1270
Nuet19E.1.mpg	115	380	1265
Nuet41A.1.mpg	87	324	1112
Nuet28A.1.mpg	84	358	1203
Nuet49A.1.mpg	88	327	1126
Nuet40.1.mpg	117	357	1205
Nuet37.1.mpg	88	335	1144
Nuet103C.1.mpg	86	379	1184
Nuet88.1.mpg	85	323	1190
Nuet99A.1.mpg	95	314	1096
Nuet101A.1.mpg	79	328	1144
Nuet94B.1.mpg	49	200	605
Nuet96A.1.mpg	82	338	1066
Nuet102A.1.mpg	98	333	1200
Nuet93A.1.mpg	111	382	1260
Nuet97A.1.mpg	77	315	1059
Nuet92A.1.mpg	116	460	1380
Nuet100C.1.mpg	39	146	525
Nuet100A.1.mpg	97	388	1252
Nuet89A.1.mpg	74	318	1027
Nuet102B.1.mpg	1	0	2
Nuet91A.1.mpg	139	419	1414
Nuet87A.1.mpg	97	358	1217
Nuet98A.1.mpg	90	302	1010
Nuet90A.1.mpg	121	419	1379
Nuet103B.1.mpg	104	370	1340
Nuet94A.1.mpg	77	272	973
Nuet103A.1.mpg	102	411	1322
Nuet95A.1.mpg	67	284	959
Nuet104-6.1.mpg	170	385	1510
Nuet104-3.1.mpg	76	216	792
Nuet104-1.1.mpg	55	250	557
Nuet104-5.1.mpg	109	330	924
Nuet104-2.1.mpg	123	288	1004
Nuet104-4.1.mpg	127	347	1192
Nuet13A.1.mpg	81	342	1146
Nuet6A.1.mpg	67	283	921
Nuet12.1.mpg	60	258	893
Nuet7B.1.mpg	60	141	566
Nuet4A.1.mpg	79	235	871
Nuet2A.1.mpg	112	412	1300
Nuet3A.1.mpg	77	272	846
Nuet10A.1.mpg	77	310	1030
Nuet1A.1.mpg	85	333	937
Nuet11A.1.mpg	82	331	1235
Nuet9A.1.mpg	97	268	1117
